# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-10-07 23:20:55 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02336240 S.F. PEACHTREE CREEK JOHNSON RD, NEAR ATLANTA, GA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02336240
#            TS   parameter     Description
#         39623       00065     Gage height, feet
#         39624       00060     Discharge, cubic feet per second
#         39626       00010     Temperature, water, degrees Celsius
#         39627       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#         39628       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#         39629       00400     pH, water, unfiltered, field, standard units
#         39630       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	39623_00065	39623_00065_cd	39624_00060	39624_00060_cd	39626_00010	39626_00010_cd	39627_00095	39627_00095_cd	39628_00300	39628_00300_cd	39629_00400	39629_00400_cd	39630_63680	39630_63680_cd
USGS	02336240	2020-01-01 03:00	EST	3.54	A	10.9	A	9.3	A	126	A	10.4	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 03:15	EST	3.54	A	10.9	A	9.2	A	126	A	10.4	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 03:30	EST	3.54	A	10.9	A	9.2	A	126	A	10.4	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 03:45	EST	3.54	A	10.9	A	9.2	A	126	A	10.4	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 04:00	EST	3.54	A	10.9	A	9.1	A	127	A	10.4	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 04:15	EST	3.54	A	10.9	A	9.1	A	127	A	10.4	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 04:30	EST	3.54	A	10.9	A	9.1	A	127	A	10.4	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 04:45	EST	3.54	A	10.9	A	9.0	A	127	A	10.4	A	6.9	A	3.6	A
USGS	02336240	2020-01-01 05:00	EST	3.54	A	10.9	A	9.0	A	127	A	10.4	A	6.9	A	3.4	A
USGS	02336240	2020-01-01 05:15	EST	3.54	A	10.9	A	8.9	A	127	A	10.4	A	6.9	A	3.5	A
USGS	02336240	2020-01-01 05:30	EST	3.54	A	10.9	A	8.9	A	127	A	10.5	A	6.9	A	3.4	A
USGS	02336240	2020-01-01 05:45	EST	3.54	A	10.9	A	8.8	A	127	A	10.5	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 06:00	EST	3.54	A	10.9	A	8.8	A	128	A	10.5	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 06:15	EST	3.54	A	10.9	A	8.8	A	127	A	10.5	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 06:30	EST	3.54	A	10.9	A	8.8	A	128	A	10.5	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 06:45	EST	3.54	A	10.9	A	8.7	A	128	A	10.5	A	6.9	A	3.1	A
USGS	02336240	2020-01-01 07:00	EST					8.6	A	128	A	10.6	A	6.9	A	3.1	A
USGS	02336240	2020-01-01 07:15	EST	3.54	A	10.9	A	8.6	A	128	A	10.6	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 07:30	EST	3.54	A	10.9	A	8.6	A	128	A	10.6	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 07:45	EST	3.54	A	10.9	A	8.5	A	128	A	10.6	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 08:00	EST	3.54	A	10.9	A	8.5	A	128	A	10.6	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 08:15	EST	3.54	A	10.9	A	8.4	A	128	A	10.6	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 08:30	EST	3.54	A	10.9	A	8.4	A	128	A	10.6	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 08:45	EST	3.54	A	10.9	A	8.4	A	129	A	10.7	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 09:00	EST	3.54	A	10.9	A	8.3	A	128	A	10.7	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 09:15	EST	3.54	A	10.9	A	8.3	A	129	A	10.7	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 09:30	EST	3.54	A	10.9	A	8.3	A	129	A	10.7	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 09:45	EST	3.54	A	10.9	A	8.3	A	129	A	10.8	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 10:00	EST	3.54	A	10.9	A	8.3	A	129	A	10.8	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 10:15	EST	3.54	A	10.9	A	8.3	A	129	A	10.9	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 10:30	EST	3.54	A	10.9	A	8.4	A	129	A	10.9	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 10:45	EST	3.54	A	10.9	A	8.5	A	129	A	11.0	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 11:00	EST	3.54	A	10.9	A	8.5	A	129	A	11.0	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 11:15	EST	3.54	A	10.9	A	8.7	A	129	A	11.1	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 11:30	EST	3.54	A	10.9	A	8.7	A	129	A	11.1	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 11:45	EST	3.54	A	10.9	A	8.9	A	130	A	11.1	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 12:00	EST	3.54	A	10.9	A	9.0	A	130	A	11.2	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 12:15	EST	3.54	A	10.9	A	9.1	A	130	A	11.2	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 12:30	EST	3.54	A	10.9	A	9.1	A	130	A	11.2	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 12:45	EST	3.54	A	10.9	A	9.2	A	130	A	11.3	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 13:00	EST	3.54	A	10.9	A	9.3	A	130	A	11.3	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 13:15	EST	3.54	A	10.9	A	9.4	A	130	A	11.3	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 13:30	EST	3.54	A	10.9	A	9.5	A	130	A	11.4	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 13:45	EST	3.54	A	10.9	A	9.5	A	130	A	11.4	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 14:00	EST	3.54	A	10.9	A	9.5	A	130	A	11.4	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 14:15	EST	3.54	A	10.9	A	9.6	A	130	A	11.4	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 14:30	EST	3.54	A	10.9	A	9.7	A	130	A	11.4	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 14:45	EST	3.54	A	10.9	A	9.7	A	130	A	11.4	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 15:00	EST	3.54	A	10.9	A	9.8	A	130	A	11.4	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 15:15	EST	3.54	A	10.9	A	9.8	A	130	A	11.4	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 15:30	EST	3.54	A	10.9	A	9.8	A	130	A	11.4	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 15:45	EST	3.53	A	10.5	A	9.7	A	130	A	11.4	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 16:00	EST	3.54	A	10.9	A	9.8	A	130	A	11.3	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 16:15	EST	3.54	A	10.9	A	9.8	A	130	A	11.3	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 16:30	EST	3.54	A	10.9	A	9.7	A	130	A	11.3	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 16:45	EST	3.54	A	10.9	A	9.7	A	130	A	11.3	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 17:00	EST	3.54	A	10.9	A	9.7	A	130	A	11.2	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 17:15	EST	3.54	A	10.9	A	9.7	A	130	A	11.2	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 17:30	EST	3.54	A	10.9	A	9.7	A	130	A	11.2	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 17:45	EST	3.54	A	10.9	A	9.7	A	131	A	11.1	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 18:00	EST	3.54	A	10.9	A	9.7	A	131	A	11.1	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 18:15	EST	3.54	A	10.9	A	9.7	A	131	A	11.0	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 18:30	EST	3.54	A	10.9	A	9.6	A	130	A	11.0	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 18:45	EST	3.54	A	10.9	A	9.6	A	131	A	11.0	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 19:00	EST	3.54	A	10.9	A	9.6	A	131	A	10.9	A	6.9	A	3.3	A
USGS	02336240	2020-01-01 19:15	EST	3.54	A	10.9	A	9.6	A	131	A	10.9	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 19:30	EST	3.54	A	10.9	A	9.5	A	131	A	10.9	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 19:45	EST	3.54	A	10.9	A	9.4	A	131	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 20:00	EST	3.54	A	10.9	A	9.4	A	131	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 20:15	EST	3.54	A	10.9	A	9.4	A	131	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 20:30	EST	3.54	A	10.9	A	9.3	A	132	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 20:45	EST	3.54	A	10.9	A	9.3	A	132	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 21:00	EST	3.54	A	10.9	A	9.2	A	132	A	10.7	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 21:15	EST	3.54	A	10.9	A	9.2	A	132	A	10.7	A	6.9	A	2.8	A
USGS	02336240	2020-01-01 21:30	EST	3.54	A	10.9	A	9.1	A	132	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 21:45	EST	3.54	A	10.9	A	9.1	A	132	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 22:00	EST	3.54	A	10.9	A	9.1	A	132	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 22:15	EST	3.54	A	10.9	A	9.0	A	132	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 22:30	EST	3.54	A	10.9	A	9.0	A	132	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-01 22:45	EST	3.54	A	10.9	A	9.0	A	132	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 23:00	EST	3.54	A	10.9	A	9.0	A	133	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 23:15	EST	3.54	A	10.9	A	8.9	A	133	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-01 23:30	EST	3.54	A	10.9	A	8.9	A	133	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-01 23:45	EST	3.54	A	10.9	A	8.9	A	133	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 00:00	EST	3.54	A	10.9	A	8.9	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 00:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 00:30	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 00:45	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.3	A
USGS	02336240	2020-01-02 01:00	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 01:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 01:30	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 01:45	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.3	A
USGS	02336240	2020-01-02 02:00	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 02:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 02:30	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 02:45	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 03:00	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 03:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 03:30	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 03:45	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 04:00	EST	3.54	A	10.9	A	8.8	A	133	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 04:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 04:30	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 04:45	EST	3.54	A	10.9	A	8.8	A	134	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 05:00	EST	3.54	A	10.9	A	8.8	A	134	A	10.6	A	6.9	A	2.4	A
USGS	02336240	2020-01-02 05:15	EST	3.54	A	10.9	A	8.8	A	133	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 05:30	EST	3.54	A	10.9	A	8.8	A	134	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 05:45	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.8	A
USGS	02336240	2020-01-02 06:00	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 06:15	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 06:30	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 06:45	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 07:00	EST					8.9	A	134	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 07:15	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 07:30	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 07:45	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A	3.0	A
USGS	02336240	2020-01-02 08:00	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A		
USGS	02336240	2020-01-02 08:15	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 08:30	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.8	A
USGS	02336240	2020-01-02 08:45	EST	3.54	A	10.9	A	8.9	A	134	A	10.7	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 09:00	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 09:15	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 09:30	EST	3.54	A	10.9	A	8.9	A	134	A	10.6	A	6.9	A	3.4	A
USGS	02336240	2020-01-02 09:45	EST	3.54	A	10.9	A	9.0	A	135	A	10.6	A	6.9	A	2.5	A
USGS	02336240	2020-01-02 10:00	EST	3.54	A	10.9	A	9.0	A	134	A	10.6	A	6.9	A	4.4	A
USGS	02336240	2020-01-02 10:15	EST	3.54	A	10.9	A	9.0	A	135	A	10.6	A	6.9	A	5.2	A
USGS	02336240	2020-01-02 10:30	EST	3.54	A	10.9	A	9.0	A	134	A	10.8	A	6.9	A	3.5	A
USGS	02336240	2020-01-02 10:45	EST	3.54	A	10.9	A	9.0	A	135	A	10.8	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 11:00	EST	3.55	A	11.3	A	9.0	A	134	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 11:15	EST	3.55	A	11.3	A	9.1	A	135	A	10.8	A	6.9	A	2.6	A
USGS	02336240	2020-01-02 11:30	EST	3.55	A	11.3	A	9.1	A	135	A	10.8	A	6.9	A	2.7	A
USGS	02336240	2020-01-02 11:45	EST	3.55	A	11.3	A	9.1	A	134	A	10.8	A	6.9	A	3.0	A
USGS	02336240	2020-01-02 12:00	EST	3.55	A	11.3	A	9.2	A	134	A	10.9	A	6.9	A	3.0	A
USGS	02336240	2020-01-02 12:15	EST	3.56	A	11.8	A	9.2	A	134	A	10.9	A	6.9	A	3.0	A
USGS	02336240	2020-01-02 12:30	EST	3.56	A	11.8	A	9.2	A	131	A	10.9	A	6.9	A	3.8	A
USGS	02336240	2020-01-02 12:45	EST	3.58	A	12.6	A	9.2	A	129	A	11.0	A	6.9	A	3.6	A
USGS	02336240	2020-01-02 13:00	EST	3.62	A	14.4	A	9.3	A	129	A	11.0	A	6.9	A	3.7	A
USGS	02336240	2020-01-02 13:15	EST	3.69	A	17.6	A	9.3	A	129	A	11.0	A	6.9	A	3.6	A
USGS	02336240	2020-01-02 13:30	EST	3.77	A	21.9	A	9.3	A	124	A	11.0	A	7.0	A	5.3	A
USGS	02336240	2020-01-02 13:45	EST	3.95	A	34.1	A	9.3	A	132	A	11.0	A	6.9	A	5.8	A
USGS	02336240	2020-01-02 14:00	EST	4.07	A	44.5	A	9.5	A	125	A	10.9	A	7.0	A	19.3	A
USGS	02336240	2020-01-02 14:15	EST	4.30	A	70.4	A	9.6	A	104	A	10.9	A	7.0	A	34.9	A
USGS	02336240	2020-01-02 14:30	EST	4.58	A	112	A	9.8	A	97	A	10.9	A	7.0	A	40.8	A
USGS	02336240	2020-01-02 14:45	EST	4.92	A	174	A	9.8	A	83	A	10.8	A	7.0	A	49.5	A
USGS	02336240	2020-01-02 15:00	EST	5.13	A	222	A	10.0	A	73	A	10.8	A	7.0	A	114	A
USGS	02336240	2020-01-02 15:15	EST	5.33	A	275	A	9.8	A	82	A	10.8	A	7.0	A	78.8	A
USGS	02336240	2020-01-02 15:30	EST	5.48	A	320	A	9.8	A	85	A	10.8	A	7.0	A	118	A
USGS	02336240	2020-01-02 15:45	EST	5.61	A	358	A	9.9	A	34	A	10.8	A	7.0	A	62.0	A
USGS	02336240	2020-01-02 16:00	EST	5.80	A	410	A	9.8	A	67	A	10.9	A	7.0	A	66.9	A
USGS	02336240	2020-01-02 16:15	EST	5.94	A	452	A	9.7	A	46	A	11.0	A	7.0	A	55.2	A
USGS	02336240	2020-01-02 16:30	EST	6.18	A	523	A	9.6	A	49	A	11.0	A	7.1	A	62.6	A
USGS	02336240	2020-01-02 16:45	EST	6.57	A	647	A	9.6	A	44	A	11.1	A	7.1	A	70.9	A
USGS	02336240	2020-01-02 17:00	EST	6.85	A	745	A	9.6	A	38	A	11.1	A	7.1	A	101	A
USGS	02336240	2020-01-02 17:15	EST	7.12	A	842	A	9.6	A	32	A	11.1	A	7.1	A	220	A
USGS	02336240	2020-01-02 17:30	EST	7.42	A	950	A	9.6	A	27	A	11.0	A	7.1	A	149	A
USGS	02336240	2020-01-02 17:45	EST	7.66	A	1040	A	9.7	A	23	A	11.0	A	7.1	A	135	A
USGS	02336240	2020-01-02 18:00	EST	7.72	A	1060	A	9.7	A			11.1	A	7.1	A	140	A
USGS	02336240	2020-01-02 18:15	EST	7.63	A	1030	A	9.6	A			11.2	A	7.1	A	150	A
USGS	02336240	2020-01-02 18:30	EST	7.52	A	987	A	9.6	A			11.2	A	7.1	A	178	A
USGS	02336240	2020-01-02 18:45	EST	7.37	A	932	A	9.5	A			11.2	A	7.1	A	147	A
USGS	02336240	2020-01-02 19:00	EST	7.27	A	895	A	9.5	A			11.2	A	7.1	A	174	A
USGS	02336240	2020-01-02 19:15	EST	7.12	A	842	A	9.5	A			11.2	A	7.1	A	175	A
USGS	02336240	2020-01-02 19:30	EST	7.00	A	800	A	9.5	A			11.2	A	7.1	A	172	A
USGS	02336240	2020-01-02 19:45	EST	6.87	A	752	A	9.5	A			11.2	A	7.1	A	174	A
USGS	02336240	2020-01-02 20:00	EST	6.72	A	699	A	9.5	A			11.2	A	7.1	A	160	A
USGS	02336240	2020-01-02 20:15	EST	6.59	A	654	A	9.5	A			11.2	A	7.1	A	128	A
USGS	02336240	2020-01-02 20:30	EST	6.45	A	608	A	9.5	A			11.2	A	7.1	A	139	A
USGS	02336240	2020-01-02 20:45	EST	6.32	A	566	A	9.5	A			11.3	A	7.1	A	137	A
USGS	02336240	2020-01-02 21:00	EST	6.18	A	523	A	9.5	A			11.3	A	7.1	A	137	A
USGS	02336240	2020-01-02 21:15	EST	6.05	A	484	A	9.5	A			11.3	A	7.1	A	137	A
USGS	02336240	2020-01-02 21:30	EST	5.92	A	446	A	9.5	A			11.3	A	7.1	A	163	A
USGS	02336240	2020-01-02 21:45	EST	5.78	A	405	A	9.5	A			11.3	A	7.1	A	141	A
USGS	02336240	2020-01-02 22:00	EST	5.65	A	368	A	9.5	A			11.2	A	7.1	A	136	A
USGS	02336240	2020-01-02 22:15	EST	5.52	A	332	A	9.5	A			11.2	A	7.1	A	115	A
USGS	02336240	2020-01-02 22:30	EST	5.40	A	295	A	9.5	A			11.2	A	7.1	A	154	A
USGS	02336240	2020-01-02 22:45	EST	5.28	A	261	A	9.5	A			11.2	A	7.1	A	103	A
USGS	02336240	2020-01-02 23:00	EST	5.18	A	234	A	9.5	A			11.2	A	7.1	A	207	A
USGS	02336240	2020-01-02 23:15	EST	5.09	A	212	A	9.5	A			11.2	A	7.1	A	105	A
USGS	02336240	2020-01-02 23:30	EST	5.01	A	193	A	9.5	A			11.2	A	7.1	A	95.3	A
USGS	02336240	2020-01-02 23:45	EST	4.94	A	178	A	9.5	A			11.1	A	7.1	A	103	A
USGS	02336240	2020-01-03 00:00	EST	4.87	A	163	A	9.6	A			11.1	A	7.1	A	86.0	A
USGS	02336240	2020-01-03 00:15	EST	4.82	A	154	A	9.6	A			11.1	A	7.1	A	87.0	A
USGS	02336240	2020-01-03 00:30	EST	4.77	A	144	A	9.6	A			11.1	A	7.1	A	70.5	A
USGS	02336240	2020-01-03 00:45	EST	4.76	A	142	A	9.6	A			11.1	A	7.1	A	64.8	A
USGS	02336240	2020-01-03 01:00	EST	4.73	A	137	A	9.6	A			11.0	A	7.1	A	77.7	A
USGS	02336240	2020-01-03 01:15	EST	4.70	A	131	A	9.6	A			11.0	A	7.1	A	61.9	A
USGS	02336240	2020-01-03 01:30	EST	4.67	A	126	A	9.7	A			11.0	A	7.1	A	60.4	A
USGS	02336240	2020-01-03 01:45	EST	4.64	A	121	A	9.7	A			11.0	A	7.1	A	77.9	A
USGS	02336240	2020-01-03 02:00	EST	4.61	A	116	A	9.7	A			11.0	A	7.1	A	69.3	A
USGS	02336240	2020-01-03 02:15	EST	4.57	A	110	A	9.7	A			11.0	A	7.1	A	55.5	A
